config_file,new_hire_rate,annual_compensation_increase_rate,target_growth,termination_base_rate_for_new_hire,promotion_base_rate,promotion_level_dampener_factor,merit_base,cola_rate,has_cola_duplicate_keys,cola_by_year_numeric_keys,cola_by_year_string_keys,term_age_mult_60_65,term_age_mult_65_plus,max_working_age,min_working_age,new_hire_average_age,new_hire_age_std_dev
config_000_20250606_095828.yaml,0.6,0.032,0.06,0.04,0.08,0.1,0.02,0.02,True,"{2025: 0.02, 2026: 0.018, 2027: 0.016, 2028: 0.015, 2029: 0.014}","{2025: 0.02, 2026: 0.018, 2027: 0.015, 2028: 0.005, 2029: 0.008}",10.0,5.0,64,22,25,3
config_009_20250606_095904.yaml,0.4,0.03,0.065,0.04,0.12,0.15,0.032,0.02,True,"{2025: 0.02, 2026: 0.018, 2027: 0.016, 2028: 0.015, 2029: 0.014}","{2025: 0.015, 2026: 0.01, 2027: 0.006, 2028: 0.007, 2029: 0.004}",8.0,12.0,65,22,22,4
config_019_20250606_095905.yaml,0.5,0.032,0.06,0.05,0.1,0.2,0.03,0.02,True,"{2025: 0.02, 2026: 0.018, 2027: 0.016, 2028: 0.015, 2029: 0.014}","{2025: 0.02, 2026: 0.012, 2027: 0.015, 2028: 0.005, 2029: 0.01}",15.0,20.0,62,22,25,2
config_029_20250606_095905.yaml,0.4,0.03,0.06,0.03,0.1,0.1,0.025,0.02,True,"{2025: 0.02, 2026: 0.018, 2027: 0.016, 2028: 0.015, 2029: 0.014}","{2025: 0.01, 2026: 0.018, 2027: 0.006, 2028: 0.01, 2029: 0.01}",4.0,5.0,64,22,25,3
config_039_20250606_095905.yaml,0.45,0.025,0.065,0.04,0.08,0.2,0.032,0.02,True,"{2025: 0.02, 2026: 0.018, 2027: 0.016, 2028: 0.015, 2029: 0.014}","{2025: 0.015, 2026: 0.012, 2027: 0.01, 2028: 0.01, 2029: 0.012}",4.0,5.0,62,22,28,2
config_049_20250606_095905.yaml,0.55,0.025,0.07,0.05,0.15,0.1,0.025,0.02,True,"{2025: 0.02, 2026: 0.018, 2027: 0.016, 2028: 0.015, 2029: 0.014}","{2025: 0.02, 2026: 0.01, 2027: 0.006, 2028: 0.014, 2029: 0.004}",4.0,15.0,63,22,22,3
config_059_20250606_095905.yaml,0.4,0.032,0.07,0.05,0.12,0.2,0.032,0.02,True,"{2025: 0.02, 2026: 0.018, 2027: 0.016, 2028: 0.015, 2029: 0.014}","{2025: 0.018, 2026: 0.01, 2027: 0.015, 2028: 0.007, 2029: 0.004}",15.0,20.0,64,22,27,4
config_069_20250606_095905.yaml,0.6,0.025,0.06,0.05,0.1,0.1,0.032,0.02,True,"{2025: 0.02, 2026: 0.018, 2027: 0.016, 2028: 0.015, 2029: 0.014}","{2025: 0.015, 2026: 0.018, 2027: 0.015, 2028: 0.005, 2029: 0.004}",15.0,15.0,65,22,28,4
config_079_20250606_095906.yaml,0.55,0.02,0.05,0.03,0.08,0.1,0.025,0.02,True,"{2025: 0.02, 2026: 0.018, 2027: 0.016, 2028: 0.015, 2029: 0.014}","{2025: 0.02, 2026: 0.008, 2027: 0.006, 2028: 0.005, 2029: 0.006}",8.0,8.0,62,22,27,3
config_089_20250606_095906.yaml,0.45,0.025,0.07,0.05,0.15,0.15,0.025,0.02,True,"{2025: 0.02, 2026: 0.018, 2027: 0.016, 2028: 0.015, 2029: 0.014}","{2025: 0.02, 2026: 0.012, 2027: 0.008, 2028: 0.005, 2029: 0.008}",10.0,5.0,64,22,25,4
config_099_20250606_095906.yaml,0.45,0.03,0.06,0.03,0.08,0.15,0.02,0.02,True,"{2025: 0.02, 2026: 0.018, 2027: 0.016, 2028: 0.015, 2029: 0.014}","{2025: 0.02, 2026: 0.012, 2027: 0.006, 2028: 0.005, 2029: 0.008}",4.0,15.0,65,22,22,2
config_109_20250606_095906.yaml,0.6,0.03,0.06,0.05,0.08,0.2,0.03,0.02,True,"{2025: 0.02, 2026: 0.018, 2027: 0.016, 2028: 0.015, 2029: 0.014}","{2025: 0.01, 2026: 0.018, 2027: 0.008, 2028: 0.01, 2029: 0.006}",6.0,20.0,65,22,25,3
config_119_20250606_095906.yaml,0.55,0.025,0.06,0.03,0.08,0.2,0.02,0.02,True,"{2025: 0.02, 2026: 0.018, 2027: 0.016, 2028: 0.015, 2029: 0.014}","{2025: 0.02, 2026: 0.008, 2027: 0.015, 2028: 0.012, 2029: 0.004}",8.0,8.0,65,22,25,4
config_129_20250606_095906.yaml,0.5,0.03,0.055,0.05,0.08,0.2,0.02,0.02,True,"{2025: 0.02, 2026: 0.018, 2027: 0.016, 2028: 0.015, 2029: 0.014}","{2025: 0.018, 2026: 0.015, 2027: 0.008, 2028: 0.012, 2029: 0.004}",10.0,20.0,63,22,28,2
config_139_20250606_095906.yaml,0.55,0.028,0.055,0.05,0.12,0.1,0.025,0.02,True,"{2025: 0.02, 2026: 0.018, 2027: 0.016, 2028: 0.015, 2029: 0.014}","{2025: 0.02, 2026: 0.008, 2027: 0.006, 2028: 0.012, 2029: 0.004}",15.0,15.0,62,22,28,4
